Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,152.720001,154.639999,152.720001,153.509995,151.732803,5891600
2022-11-29,153.029999,153.710007,152.550003,152.970001,151.199081,4613900
2022-11-30,152.610001,152.770004,151.199997,152.419998,150.655441,10446000
2022-12-01,152.050003,153.610001,150.729996,153.369995,151.594452,7577400
2022-12-02,151.479996,153.240005,151.479996,153.220001,151.446182,6911000
2022-12-05,152.75,153.0,150.509995,151.649994,149.894363,7869400
2022-12-06,151.199997,151.910004,149.210007,149.889999,148.154724,6875200
2022-12-07,150.5,151.210007,148.820007,149.110001,147.383759,5850100
2022-12-08,149.160004,149.279999,148.139999,148.779999,147.611954,4504200
2022-12-09,147.470001,147.720001,145.220001,145.309998,144.169205,9309800
2022-12-12,145.899994,148.100006,145.559998,148.020004,146.857925,6477400
2022-12-13,150.0,150.199997,146.740005,147.490005,146.332092,7802700
2022-12-14,147.089996,148.529999,145.960007,146.669998,145.518524,6778200
2022-12-15,145.580002,146.419998,143.630005,145.360001,144.218796,5838000
2022-12-16,144.479996,144.720001,142.570007,142.75,141.629303,13447700
2022-12-19,143.009995,143.559998,141.729996,142.800003,141.678894,5022500
2022-12-20,142.919998,144.639999,142.25,144.050003,142.919098,5669800
2022-12-21,144.320007,145.940002,144.259995,145.179993,144.040222,4575500
2022-12-22,144.770004,144.979996,141.929993,143.479996,142.353561,4360800
2022-12-23,143.050003,143.800003,142.279999,143.770004,142.641296,3182500
2022-12-27,144.039993,144.449997,143.190002,143.809998,142.680969,3348200
2022-12-28,143.470001,143.669998,140.910004,141.289993,140.18074,5082100
2022-12-29,142.139999,143.020004,141.75,142.149994,141.033997,3057300
2022-12-30,141.559998,141.990005,140.809998,141.789993,140.676834,3835300
2023-01-03,142.550003,143.710007,142.089996,143.600006,142.472626,5749900
2023-01-04,143.419998,144.050003,142.070007,143.759995,142.631363,4446100
2023-01-05,143.460007,144.130005,142.649994,143.270004,142.145218,4424800
2023-01-06,144.600006,147.550003,144.240005,146.779999,145.627655,7077300
2023-01-09,146.320007,147.860001,144.800003,144.949997,143.812012,5918900
2023-01-10,144.940002,145.449997,143.729996,144.860001,143.722733,3990200
2023-01-11,145.740005,146.179993,144.729996,146.130005,144.982773,4944900
2023-01-12,146.410004,146.419998,144.389999,144.809998,143.673126,4157600
2023-01-13,145.529999,145.820007,143.860001,145.289993,144.149338,4566600
2023-01-17,145.289993,145.710007,144.199997,144.410004,143.276276,5040800
2023-01-18,144.199997,144.25,140.479996,140.839996,139.734299,7558100
2023-01-19,141.389999,141.529999,138.789993,138.830002,137.740067,5780700
2023-01-20,139.399994,140.779999,138.169998,140.539993,139.436646,9847700
2023-01-23,140.460007,143.009995,140.199997,142.639999,141.520157,4383300
2023-01-24,146.550003,146.550003,141.0,143.020004,141.897171,4556400
2023-01-25,142.240005,142.839996,140.389999,142.339996,141.222504,4163900
2023-01-26,143.029999,143.75,141.759995,142.210007,141.093536,5273000
2023-01-27,142.600006,144.470001,141.75,143.300003,142.174988,6137600
2023-01-30,142.119995,142.449997,141.270004,142.149994,141.033997,5299200
2023-01-31,142.320007,143.880005,141.660004,143.869995,142.740494,4701200
2023-02-01,143.660004,145.610001,142.699997,144.669998,143.534225,4283100
2023-02-02,144.410004,144.860001,142.940002,143.619995,142.492462,5935600
2023-02-03,143.360001,143.960007,140.860001,141.710007,140.597473,5718500
2023-02-06,141.820007,142.100006,140.029999,140.679993,139.575531,5818000
2023-02-07,139.770004,141.300003,138.690002,140.979996,139.873184,5447100
2023-02-08,140.330002,141.100006,139.990005,140.220001,139.119171,3897100
2023-02-09,140.869995,141.940002,140.570007,141.520004,140.408966,4354800
2023-02-10,143.089996,143.940002,142.169998,143.720001,142.591675,5000900
2023-02-13,144.710007,146.119995,144.509995,145.910004,144.764481,5338600
2023-02-14,145.729996,147.130005,144.559998,145.490005,144.347794,4610400
2023-02-15,144.960007,146.600006,144.559998,146.570007,145.419312,4891400
2023-02-16,145.479996,145.990005,144.179993,144.270004,143.13736,5437400
2023-02-17,145.110001,146.690002,144.570007,146.440002,145.290329,8256900
2023-02-21,142.880005,148.339996,142.149994,147.330002,146.17334,18131300
2023-02-22,146.770004,147.570007,142.759995,144.240005,143.107605,9948000
2023-02-23,144.369995,144.369995,140.710007,142.089996,140.974472,7340400
2023-02-24,140.839996,142.740005,139.529999,142.470001,141.351501,6874500
2023-02-27,142.710007,143.089996,140.660004,141.440002,140.329575,5549100
2023-02-28,141.0,142.649994,140.949997,142.130005,141.014175,6018000
2023-03-01,141.059998,141.279999,139.369995,140.149994,139.049698,4726700
2023-03-02,139.839996,140.740005,139.5,140.5,139.396973,4928500
2023-03-03,141.039993,141.190002,139.770004,140.669998,139.565628,5629600
2023-03-06,140.5,140.979996,140.020004,140.649994,139.545776,5573600
2023-03-07,141.179993,141.679993,138.789993,139.25,138.156769,5795800
2023-03-08,138.559998,138.919998,137.279999,138.100006,137.015808,6363600
2023-03-09,138.830002,138.979996,136.919998,137.169998,136.093094,5138600
2023-03-10,137.020004,138.279999,136.089996,136.970001,135.894669,6688400
2023-03-13,136.679993,138.5,136.580002,137.369995,136.291534,9380700
2023-03-14,137.690002,138.270004,137.0,138.100006,137.015808,8514200
2023-03-15,136.889999,139.809998,136.710007,139.639999,138.543716,11044500
2023-03-16,139.429993,139.649994,137.880005,138.279999,137.756699,9635200
2023-03-17,138.190002,139.490005,137.589996,139.399994,138.872452,14360400
2023-03-20,140.100006,141.919998,139.809998,140.899994,140.366776,11309500
2023-03-21,141.389999,141.389999,139.529999,140.419998,139.888596,6337800
2023-03-22,140.639999,141.220001,139.460007,139.520004,138.992004,6182800
2023-03-23,140.199997,141.610001,139.490005,140.649994,140.117722,7348100
2023-03-24,141.009995,142.470001,140.600006,141.800003,141.263382,7584100
2023-03-27,142.789993,144.979996,142.779999,144.169998,143.624405,8925200
2023-03-28,143.649994,144.410004,143.050003,143.610001,143.066528,7094300
2023-03-29,144.369995,144.960007,143.449997,144.229996,143.684174,8072300
2023-03-30,145.5,146.600006,145.020004,145.669998,145.118729,7293000
2023-03-31,146.580002,148.440002,146.470001,147.449997,146.891998,6956000
2023-04-03,147.729996,148.949997,147.5,148.690002,148.127304,6588900
2023-04-04,148.529999,148.789993,147.020004,147.229996,146.672821,6037900
2023-04-05,147.169998,149.880005,147.139999,149.669998,149.103592,8846900
2023-04-06,148.800003,151.039993,148.520004,150.800003,150.229324,5963900
2023-04-10,150.360001,151.119995,149.770004,150.509995,149.940414,4839700
2023-04-11,151.0,151.0,149.619995,150.070007,149.50209,6123500
2023-04-12,149.789993,150.970001,149.169998,149.339996,148.774841,3736600
2023-04-13,149.649994,150.0,148.199997,149.490005,148.924286,4424200
2023-04-14,149.029999,149.889999,148.149994,148.479996,147.918091,3488300
2023-04-17,148.639999,149.669998,148.5,149.520004,148.954163,5388900
2023-04-18,149.779999,150.339996,149.440002,149.850006,149.282913,4494100
2023-04-19,150.839996,151.410004,149.770004,150.009995,149.442307,4144500
2023-04-20,150.210007,151.389999,149.600006,150.970001,150.398682,4547200
2023-04-21,151.960007,152.300003,151.179993,151.729996,151.155792,8445000
2023-04-24,151.710007,152.949997,151.710007,152.759995,152.1819,4526500
2023-04-25,153.289993,153.75,151.330002,151.570007,150.996414,5748900
2023-04-26,150.979996,151.410004,150.220001,150.910004,150.338913,4303400
2023-04-27,150.779999,151.940002,150.779999,151.380005,150.807129,4287000
2023-04-28,151.289993,152.169998,150.179993,150.970001,150.398682,4693900
2023-05-01,151.039993,152.539993,150.929993,151.589996,151.016327,3803200
2023-05-02,151.470001,151.490005,149.460007,151.179993,150.60788,3776500
2023-05-03,151.559998,152.100006,150.270004,150.619995,150.049988,4111500
2023-05-04,150.550003,150.990005,149.490005,150.470001,150.470001,4670400
2023-05-05,150.300003,152.009995,149.830002,151.770004,151.770004,4850000
2023-05-08,151.270004,152.949997,151.059998,152.720001,152.720001,4975400
2023-05-09,152.720001,153.179993,152.339996,152.979996,152.979996,5069900
2023-05-10,153.690002,154.350006,151.229996,152.550003,152.550003,5275900
2023-05-11,152.550003,153.270004,152.0,153.119995,153.119995,3975600
2023-05-12,153.600006,154.070007,152.710007,153.070007,153.070007,5371800
2023-05-15,153.5,153.850006,151.380005,151.880005,151.880005,5371300
2023-05-16,150.850006,151.529999,149.570007,149.779999,149.779999,5170700
2023-05-17,151.139999,151.149994,148.710007,149.529999,149.529999,8995300
2023-05-18,151.800003,154.289993,149.949997,151.470001,151.470001,15589500
2023-05-19,151.399994,151.460007,149.110001,149.910004,149.910004,9195600
2023-05-22,149.699997,150.080002,148.289993,148.589996,148.589996,5372600
2023-05-23,148.009995,148.860001,147.080002,148.309998,148.309998,5434100
2023-05-24,148.509995,148.539993,146.300003,147.630005,147.630005,6838400
2023-05-25,146.880005,147.440002,145.089996,146.160004,146.160004,7099700
2023-05-26,145.699997,146.820007,145.470001,146.419998,146.419998,5240300
2023-05-30,146.300003,147.289993,145.600006,146.059998,146.059998,5247500
2023-05-31,145.419998,147.309998,145.009995,146.869995,146.869995,10043600
2023-06-01,146.210007,147.899994,145.940002,147.410004,147.410004,6746400
2023-06-02,147.220001,149.009995,147.100006,148.820007,148.820007,6391300
2023-06-05,149.369995,151.25,149.369995,149.800003,149.800003,5184400
2023-06-06,149.699997,150.190002,148.509995,149.779999,149.779999,5005200
2023-06-07,149.25,150.360001,149.039993,150.0,150.0,8085500
2023-06-08,150.389999,152.429993,149.789993,152.169998,152.169998,6291000
2023-06-09,152.160004,153.720001,151.600006,153.089996,153.089996,5201300
2023-06-12,153.429993,154.300003,153.169998,154.100006,154.100006,4904500
2023-06-13,154.520004,155.509995,154.070007,155.300003,155.300003,5246300
2023-06-14,155.910004,157.330002,155.610001,156.869995,156.869995,7034400
2023-06-15,157.0,158.229996,156.979996,157.729996,157.729996,6053500
2023-06-16,158.080002,158.149994,155.279999,155.529999,155.529999,11556700
2023-06-20,154.699997,155.449997,153.880005,154.160004,154.160004,6664800
2023-06-21,154.210007,155.339996,153.360001,154.460007,154.460007,6417000
2023-06-22,154.979996,156.080002,154.479996,155.75,155.75,4435800
2023-06-23,155.880005,156.289993,155.020004,155.460007,155.460007,6325000
2023-06-26,155.649994,155.779999,154.320007,155.050003,155.050003,4702100
2023-06-27,154.149994,155.850006,154.059998,154.490005,154.490005,4031200
2023-06-28,154.729996,155.679993,154.639999,155.330002,155.330002,6296600
2023-06-29,154.509995,154.75,153.139999,154.279999,154.279999,7176800
2023-06-30,154.970001,157.529999,154.779999,157.179993,157.179993,6357000
2023-07-03,156.809998,158.440002,156.330002,158.199997,158.199997,2882500
2023-07-05,158.160004,159.119995,157.339996,158.110001,158.110001,5861800
2023-07-06,157.929993,158.179993,156.869995,157.110001,157.110001,4809000
2023-07-07,155.809998,156.289993,153.449997,153.490005,153.490005,6588700
2023-07-10,154.559998,155.5,154.320007,154.880005,154.880005,4322600
2023-07-11,154.770004,155.509995,153.860001,154.649994,154.649994,3821100
2023-07-12,155.309998,155.889999,154.820007,155.039993,155.039993,5502600
2023-07-13,155.429993,155.600006,153.690002,154.509995,154.509995,2149938
